id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330054002,"Block Group 2, Census Tract 54, King County, Washington",1356,959,22,0,267,0,12,96,0,96
1500000US530330054003,"Block Group 3, Census Tract 54, King County, Washington",1854,1435,40,0,198,0,0,181,13,168
1500000US530330054004,"Block Group 4, Census Tract 54, King County, Washington",1867,1393,21,0,314,0,15,124,0,124
1500000US530330056001,"Block Group 1, Census Tract 56, King County, Washington",1740,1487,18,0,118,0,25,92,0,92
1500000US530330056002,"Block Group 2, Census Tract 56, King County, Washington",1417,1153,16,13,81,0,48,106,0,106
1500000US530330056003,"Block Group 3, Census Tract 56, King County, Washington",1222,1074,1,0,0,96,0,51,0,51
1500000US530330056004,"Block Group 4, Census Tract 56, King County, Washington",1073,938,0,0,90,0,0,45,0,45
1500000US530330056005,"Block Group 5, Census Tract 56, King County, Washington",1586,1365,0,0,152,0,0,69,23,46
1500000US530330057001,"Block Group 1, Census Tract 57, King County, Washington",620,538,0,0,56,0,0,26,0,26
1500000US530330057002,"Block Group 2, Census Tract 57, King County, Washington",1124,1005,16,0,60,0,20,23,23,0
1500000US530330057003,"Block Group 3, Census Tract 57, King County, Washington",1276,1210,0,0,20,0,0,46,0,46
1500000US530330057004,"Block Group 4, Census Tract 57, King County, Washington",1152,824,72,0,216,0,18,22,0,22
1500000US530330057005,"Block Group 5, Census Tract 57, King County, Washington",887,765,0,0,31,0,12,79,0,79
1500000US530330057006,"Block Group 6, Census Tract 57, King County, Washington",1792,1463,0,18,192,0,0,119,0,119
1500000US530330058011,"Block Group 1, Census Tract 58.01, King County, Washington",1242,1011,54,0,149,0,15,13,0,13
1500000US530330058012,"Block Group 2, Census Tract 58.01, King County, Washington",1559,1421,42,0,58,0,18,20,20,0
1500000US530330058013,"Block Group 3, Census Tract 58.01, King County, Washington",1767,1279,45,0,353,0,0,90,0,90
1500000US530330058014,"Block Group 4, Census Tract 58.01, King County, Washington",1216,1002,21,0,165,0,0,28,0,28
1500000US530330058021,"Block Group 1, Census Tract 58.02, King County, Washington",1604,1023,119,0,143,0,0,319,0,319
1500000US530330058022,"Block Group 2, Census Tract 58.02, King County, Washington",2356,1706,42,0,519,0,0,89,0,89
1500000US530330058023,"Block Group 3, Census Tract 58.02, King County, Washington",2303,1630,313,0,221,2,0,137,0,137
1500000US530330059001,"Block Group 1, Census Tract 59, King County, Washington",2357,1688,59,0,247,0,24,339,13,326
1500000US530330059002,"Block Group 2, Census Tract 59, King County, Washington",1243,932,0,0,114,0,15,182,0,182
1500000US530330059003,"Block Group 3, Census Tract 59, King County, Washington",1227,707,41,9,243,0,82,145,56,89
1500000US530330059004,"Block Group 4, Census Tract 59, King County, Washington",2059,1694,0,0,199,0,18,148,0,148
